,states,cases,date
0,Maharashtra,72300,03-06-2020
1,Tamil Nadu,24586,03-06-2020
2,Delhi,22132,03-06-2020
3,Gujarat,17632,03-06-2020
4,Rajasthan,9373,03-06-2020
5,Uttar Pradesh,8729,03-06-2020
6,Madhya Pradesh,8420,03-06-2020
7,Unknown*,7123,03-06-2020
8,West Bengal,6168,03-06-2020
9,Bihar,4273,03-06-2020
10,Andhra Pradesh,3971,03-06-2020
11,Karnataka,3796,03-06-2020
12,Telangana,2891,03-06-2020
13,Jammu and Kashmir,2718,03-06-2020
14,Haryana,2652,03-06-2020
15,Odisha,2388,03-06-2020
16,Punjab,2342,03-06-2020
17,Assam,1672,03-06-2020
18,Kerala,1412,03-06-2020
19,Uttarakhand,1066,03-06-2020
20,Jharkhand,722,03-06-2020
21,Chhattisgarh,564,03-06-2020
22,Tripura,520,03-06-2020
23,Himachal Pradesh,345,03-06-2020
24,Chandigarh,301,03-06-2020
25,Manipur,89,03-06-2020
26,Puducherry,82,03-06-2020
27,Ladakh,81,03-06-2020
28,Goa,79,03-06-2020
29,Nagaland,49,03-06-2020
30,Andaman and Nicobar Islands,33,03-06-2020
31,Meghalaya,30,03-06-2020
32,Arunachal Pradesh,29,03-06-2020
33,Mizoram,23,03-06-2020
34,Dadra and Nagar Haveli,3,03-06-2020
35,Sikkim,2,03-06-2020
36,Lakshadweep,0,03-06-2020
37,Daman and Diu,0,03-06-2020
